Rank,University,Overall Score,ACADEMIC REPUTATION,EMPLOYER REPUTATION,FACULTY STUDENT,INTERNATIONAL FACULTY,INTERNATIONAL STUDENTS,CITATIONS PER FACULTY,Region
1,Massachusetts Institute of Technology (MIT),100,100,100,100,100,95.5,99.8,USA
2,Stanford University,98.6,100,100,100,99.8,70.5,99,USA
3,Harvard University,98.5,100,100,99.3,92.1,75.7,99.8,USA
4,California Institute of Technology (Caltech),97.2,98.7,81.2,100,96.8,90.3,100,USA
5,University of Oxford,96.8,100,100,100,99.6,98.8,83,UK
6,University of Cambridge,95.6,100,100,100,99.4,97.9,77.2,UK
7,ETH Zurich - Swiss Federal Institute of Technology,95.3,98.2,96.2,82.4,100,98.6,98.7,Switzerand
8,Imperial College London,93.3,98.7,99.9,99.9,100,100,67.8,UK
9,University of Chicago,93.2,99.6,90.7,97.4,74.2,82.5,83.6,USA
10,UCL,92.9,99.3,99.2,99.2,98.7,100,66.2,UK
11,National University of Singapore (NUS),92,99.8,99.1,91.8,100,80.7,72.8,Singapore
12,"Nanyang Technological University, Singapore (NTU)",91.3,90.3,92.6,95,100,83.5,87.5,Singapore
13,Princeton University,90.9,99.9,96.7,70.3,70.1,69.2,100,USA
14,Cornell University,90.5,98.7,90.5,70.4,93.3,77,95.9,USA
15,Yale University,89.6,99.9,99.7,100,86.3,61.2,60.2,USA
16,Columbia University,88.5,99.7,97.4,100,40.4,96.2,59.2,USA
17,Tsinghua University,87.2,97,99.4,91.5,60.6,29.2,77.4,China
18,The University of Edinburgh,86.9,97.3,94,85.5,97.4,98.8,57.2,UK
19,University of Pennsylvania,86.5,95.4,92.6,100,72.1,65.2,59.7,USA
20,University of Michigan-Ann Arbor,86.4,98.9,90.2,94.3,82.3,49.8,60.5,USA
21,Johns Hopkins University,85.9,89.7,56.9,100,79.9,81.6,80.2,USA
22,EPFL,85.8,72.8,78.2,94.5,100,100,98.9,Switzerand
23,The University of Tokyo,85.3,100,99.5,94.2,12.3,25.5,72.2,Japan
24,The Australian National University,84.4,97.1,82.6,47.9,100,99.5,87.8,Australia
25,The University of Hong Kong,84.3,96.7,83.7,88.1,100,99.4,47.1,China
26,Duke University,83.9,88.2,74.7,99.3,14.3,55,88.2,UK
27,"University of California, Berkeley (UCB)",83.2,100,99.8,28.9,99.5,46.1,99.9,USA
28,University of Toronto,83,98.7,94,74.8,96.4,92.9,47.6,Canada
29,The University of Manchester,82.9,94.6,98.5,76,93.2,98.8,51.2,China
