,Entity,Code,Year,Population (historical)
0,Afghanistan,AFG,-10000,14737
1,Afghanistan,AFG,-9000,20405
2,Afghanistan,AFG,-8000,28253
3,Afghanistan,AFG,-7000,39120
4,Afghanistan,AFG,-6000,54166
5,Afghanistan,AFG,-5000,75000
6,Afghanistan,AFG,-4000,306250
7,Afghanistan,AFG,-3000,537500
8,Afghanistan,AFG,-2000,768750
9,Afghanistan,AFG,-1000,1000000
10,Afghanistan,AFG,0,2000000
11,Afghanistan,AFG,100,2250000
12,Afghanistan,AFG,200,2500000
13,Afghanistan,AFG,300,2500000
14,Afghanistan,AFG,400,2500000
15,Afghanistan,AFG,500,2500000
16,Afghanistan,AFG,600,2500000
17,Afghanistan,AFG,700,2425000
18,Afghanistan,AFG,800,2350000
19,Afghanistan,AFG,900,2300000
20,Afghanistan,AFG,1000,2250000
21,Afghanistan,AFG,1100,2375000
22,Afghanistan,AFG,1200,2500000
23,Afghanistan,AFG,1300,1750000
24,Afghanistan,AFG,1400,1875000
25,Afghanistan,AFG,1500,2000000
26,Afghanistan,AFG,1600,2500000
27,Afghanistan,AFG,1700,2500000
28,Afghanistan,AFG,1710,2561625
29,Afghanistan,AFG,1720,2619844
30,Afghanistan,AFG,1730,2679386
31,Afghanistan,AFG,1740,2740281
32,Afghanistan,AFG,1750,2802560
33,Afghanistan,AFG,1760,2866255
34,Afghanistan,AFG,1770,2931397
35,Afghanistan,AFG,1780,2998019
36,Afghanistan,AFG,1790,3066156
37,Afghanistan,AFG,1800,3280000
38,Afghanistan,AFG,1801,3280000
39,Afghanistan,AFG,1802,3280000
40,Afghanistan,AFG,1803,3280000
41,Afghanistan,AFG,1804,3280000
42,Afghanistan,AFG,1805,3280000
43,Afghanistan,AFG,1806,3280000
44,Afghanistan,AFG,1807,3280000
45,Afghanistan,AFG,1808,3280000
46,Afghanistan,AFG,1809,3280000
47,Afghanistan,AFG,1810,3280000
48,Afghanistan,AFG,1811,3280000
49,Afghanistan,AFG,1812,3280000
50,Afghanistan,AFG,1813,3280000
51,Afghanistan,AFG,1814,3280000
52,Afghanistan,AFG,1815,3280000
53,Afghanistan,AFG,1816,3280000
54,Afghanistan,AFG,1817,3280000
55,Afghanistan,AFG,1818,3280000
56,Afghanistan,AFG,1819,3282935
57,Afghanistan,AFG,1820,3288817
58,Afghanistan,AFG,1821,3297661
59,Afghanistan,AFG,1822,3309479
60,Afghanistan,AFG,1823,3324285
61,Afghanistan,AFG,1824,3339157
62,Afghanistan,AFG,1825,3354095
63,Afghanistan,AFG,1826,3369101
64,Afghanistan,AFG,1827,3384173
65,Afghanistan,AFG,1828,3399313
66,Afghanistan,AFG,1829,3414520
67,Afghanistan,AFG,1830,3429796
68,Afghanistan,AFG,1831,3445140
69,Afghanistan,AFG,1832,3460553
70,Afghanistan,AFG,1833,3476034
71,Afghanistan,AFG,1834,3491585
72,Afghanistan,AFG,1835,3507205
73,Afghanistan,AFG,1836,3522896
74,Afghanistan,AFG,1837,3538656
75,Afghanistan,AFG,1838,3554487
76,Afghanistan,AFG,1839,3570389
77,Afghanistan,AFG,1840,3586362
78,Afghanistan,AFG,1841,3602406
79,Afghanistan,AFG,1842,3618522
80,Afghanistan,AFG,1843,3634711
81,Afghanistan,AFG,1844,3650971
82,Afghanistan,AFG,1845,3667305
83,Afghanistan,AFG,1846,3683711
84,Afghanistan,AFG,1847,3700191
85,Afghanistan,AFG,1848,3716745
86,Afghanistan,AFG,1849,3734342
87,Afghanistan,AFG,1850,3752993
88,Afghanistan,AFG,1851,3767956
89,Afghanistan,AFG,1852,3783940
90,Afghanistan,AFG,1853,3800954
91,Afghanistan,AFG,1854,3818038
92,Afghanistan,AFG,1855,3835192
93,Afghanistan,AFG,1856,3852417
94,Afghanistan,AFG,1857,3869714
95,Afghanistan,AFG,1858,3887081
96,Afghanistan,AFG,1859,3904521
97,Afghanistan,AFG,1860,3922032
98,Afghanistan,AFG,1861,3939616
99,Afghanistan,AFG,1862,3957271
100,Afghanistan,AFG,1863,3975000
101,Afghanistan,AFG,1864,3992801
102,Afghanistan,AFG,1865,4010675
103,Afghanistan,AFG,1866,4028623
104,Afghanistan,AFG,1867,4046645
105,Afghanistan,AFG,1868,4064740
106,Afghanistan,AFG,1869,4082915
107,Afghanistan,AFG,1870,4101170
108,Afghanistan,AFG,1871,4119504
109,Afghanistan,AFG,1872,4137920
110,Afghanistan,AFG,1873,4156416
111,Afghanistan,AFG,1874,4174988
112,Afghanistan,AFG,1875,4193635
113,Afghanistan,AFG,1876,4212359
114,Afghanistan,AFG,1877,4231159
115,Afghanistan,AFG,1878,4250036
116,Afghanistan,AFG,1879,4268990
117,Afghanistan,AFG,1880,4288021
118,Afghanistan,AFG,1881,4307129
119,Afghanistan,AFG,1882,4326316
120,Afghanistan,AFG,1883,4345580
121,Afghanistan,AFG,1884,4364922
122,Afghanistan,AFG,1885,4384343
123,Afghanistan,AFG,1886,4403843
124,Afghanistan,AFG,1887,4423422
125,Afghanistan,AFG,1888,4443080
126,Afghanistan,AFG,1889,4462817
127,Afghanistan,AFG,1890,4482635
128,Afghanistan,AFG,1891,4502532
129,Afghanistan,AFG,1892,4522510
130,Afghanistan,AFG,1893,4542568
131,Afghanistan,AFG,1894,4562708
132,Afghanistan,AFG,1895,4582928
133,Afghanistan,AFG,1896,4603230
134,Afghanistan,AFG,1897,4623613
135,Afghanistan,AFG,1898,4644079
136,Afghanistan,AFG,1899,4672084
137,Afghanistan,AFG,1900,4707744
138,Afghanistan,AFG,1901,4751177
139,Afghanistan,AFG,1902,4802500
140,Afghanistan,AFG,1903,4861833
141,Afghanistan,AFG,1904,4921891
142,Afghanistan,AFG,1905,4982681
143,Afghanistan,AFG,1906,5044212
144,Afghanistan,AFG,1907,5106495
145,Afghanistan,AFG,1908,5169536
146,Afghanistan,AFG,1909,5300178
147,Afghanistan,AFG,1910,5504191
148,Afghanistan,AFG,1911,5787792
149,Afghanistan,AFG,1912,6157669
150,Afghanistan,AFG,1913,6621025
151,Afghanistan,AFG,1914,7119235
152,Afghanistan,AFG,1915,7654918
153,Afghanistan,AFG,1916,8230894
154,Afghanistan,AFG,1917,8850190
155,Afghanistan,AFG,1918,9529174
156,Afghanistan,AFG,1919,9976355
157,Afghanistan,AFG,1920,10188845
158,Afghanistan,AFG,1921,10162753
159,Afghanistan,AFG,1922,9893152
160,Afghanistan,AFG,1923,9374030
161,Afghanistan,AFG,1924,8882148
162,Afghanistan,AFG,1925,8416077
163,Afghanistan,AFG,1926,7974462
164,Afghanistan,AFG,1927,7556019
165,Afghanistan,AFG,1928,7159534
166,Afghanistan,AFG,1929,6851115
167,Afghanistan,AFG,1930,6626142
168,Afghanistan,AFG,1931,6480237
169,Afghanistan,AFG,1932,6409250
170,Afghanistan,AFG,1933,6409250
171,Afghanistan,AFG,1934,6409250
172,Afghanistan,AFG,1935,6409250
173,Afghanistan,AFG,1936,6409250
174,Afghanistan,AFG,1937,6409250
175,Afghanistan,AFG,1938,6409250
176,Afghanistan,AFG,1939,6428903
177,Afghanistan,AFG,1940,6468510
178,Afghanistan,AFG,1941,6528377
179,Afghanistan,AFG,1942,6608815
180,Afghanistan,AFG,1943,6710138
181,Afghanistan,AFG,1944,6813016
182,Afghanistan,AFG,1945,6917471
183,Afghanistan,AFG,1946,7023527
184,Afghanistan,AFG,1947,7131209
185,Afghanistan,AFG,1948,7240542
186,Afghanistan,AFG,1949,7356890
187,Afghanistan,AFG,1950,7776182
188,Afghanistan,AFG,1951,7879343
189,Afghanistan,AFG,1952,7987783
190,Afghanistan,AFG,1953,8096703
191,Afghanistan,AFG,1954,8207953
192,Afghanistan,AFG,1955,8326981
193,Afghanistan,AFG,1956,8454302
194,Afghanistan,AFG,1957,8588340
195,Afghanistan,AFG,1958,8723412
196,Afghanistan,AFG,1959,8869271
197,Afghanistan,AFG,1960,9035048
198,Afghanistan,AFG,1961,9214082
199,Afghanistan,AFG,1962,9404411
200,Afghanistan,AFG,1963,9604491
201,Afghanistan,AFG,1964,9814318
202,Afghanistan,AFG,1965,10036003
203,Afghanistan,AFG,1966,10266397
204,Afghanistan,AFG,1967,10505961
205,Afghanistan,AFG,1968,10756924
206,Afghanistan,AFG,1969,11017417
207,Afghanistan,AFG,1970,11290135
208,Afghanistan,AFG,1971,11567672
209,Afghanistan,AFG,1972,11853697
210,Afghanistan,AFG,1973,12158000
211,Afghanistan,AFG,1974,12469127
212,Afghanistan,AFG,1975,12773967
213,Afghanistan,AFG,1976,13059861
214,Afghanistan,AFG,1977,13340758
215,Afghanistan,AFG,1978,13611445
216,Afghanistan,AFG,1979,13655572
217,Afghanistan,AFG,1980,13169312
218,Afghanistan,AFG,1981,11937587
219,Afghanistan,AFG,1982,10991382
220,Afghanistan,AFG,1983,10917986
221,Afghanistan,AFG,1984,11190220
222,Afghanistan,AFG,1985,11426855
223,Afghanistan,AFG,1986,11420074
224,Afghanistan,AFG,1987,11387824
